input_lat_tx,input_lon_tx,input_height_tx,input_material_tx,input_lat_rx,input_lon_rx,input_height_rx,input_material_rx,input_use_real_weather,input_fog_density,input_rain_rate,input_surface_temp,input_ambient_temp,input_wavelength_nm,input_tx_power_dbm,link_distance_km,elevation_angle_deg,path_length_m,received_power_dbm,total_loss_db,link_margin_db,link_available,estimated_availability,loss_fog_loss_db,loss_rain_loss_db,loss_molecular_loss_db,loss_geometric_loss_db,loss_total_atmospheric_loss_db,beam_initial_diameter_m,beam_final_diameter_m,beam_beam_spreading_ratio,beam_total_steering_angle_mrad,beam_scintillation_index,atm_num_layers,atm_total_height,atm_avg_fog_density,atm_avg_rain_rate,atm_avg_temperature,atm_total_optical_depth,atm_total_transmission
37.7749,-122.4194,100.0,white_paint,37.7849,-122.4094,50.0,aluminum,False,0.1,1.0,25.0,40.0,1550.0,20.0,1.4173252285675964,-2.020426489263847,1418.206897294675,19.837656157569377,0.16234384243062294,49.83765615756938,True,0.6732936945736673,0.1605496646731025,0.0017245744031381554,6.960335437978809e-05,3.3624958916319585,0.16234384243062044,0.1,0.19454712648631167,1.9454712648631167,0.017484465033790055,0.48523594986761986,15,150.0,0.10000000000000003,1.0,39.0983333333333,0.059305464119213565,0.9424188500409009
37.7749,-122.4194,40.0,concrete,37.7849,-122.4094,30.0,wood,False,1.0,20.0,30.0,40.0,1310.0,15.0,1.4173252285675964,-0.4042461648560472,1417.360505846762,11.618824806871405,3.3811751931285947,41.6188248068714,True,0.6589461692730293,3.327954727811084,0.052992345058703934,0.0002281202588069088,6.731465722451155,3.3811751931285947,0.1,0.3341134901138088,3.341134901138088,0.022074077507724485,0.5175746466562395,9,90.0,1.0,20.0,39.49555555555554,0.4449262701335808,0.6408715256624219
37.7749,-122.4194,10.0,steel,37.7849,-122.4094,5.0,concrete,False,2.0,50.0,20.0,0.0,850.0,10.0,1.4173252285675964,-0.20212559783278145,1417.3340479697047,10.0,0.0,40.0,True,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,1.0,6,60.0,2.0,50.0,1.9375,1.0399638106935458,0.35346747347003976
37.7749,-122.4194,10.0,white_paint,37.7849,-122.4094,40.0,black_paint,False,0.2,5.0,0.0,15.0,1550.0,20.0,1.4173252285675964,1.2125775507233312,1417.642692477265,18.355631855835846,1.6443681441641544,48.355631855835846,True,0.6377627507947585,1.6048579324897188,0.039130097914080834,0.00038011376035664436,10.533860168651232,1.6443681441641562,0.1,0.5725475641590884,5.725475641590883,0.471838742812849,0.5679811948155229,6,60.0,0.19999999999999998,5.0,13.72083333333336,0.04807516323033559,0.9530621491554285
37.7749,-122.4194,20.0,white_paint,37.7849,-122.4094,50.0,wood,False,2.0,5.0,30.0,0.0,850.0,25.0,1.4173252285675964,1.2125775507233312,1417.642692477265,-5.089012151862083,30.089012151862082,24.910987848137918,True,0.5,30.038373135030042,0.0468420986375854,0.0037969181944506178,16.23618944129236,30.08901215186208,0.1,1.1966998712643486,11.966998712643486,-0.5359364445512863,1.0,7,70.0,2.0,5.0,2.0621428571428737,1.1973537098941782,0.30199231471514204
37.7749,-122.4194,75.0,white_paint,37.7849,-122.4094,50.0,steel,False,0.0,2.0,50.0,35.0,850.0,25.0,1.4173252285675964,-1.01052738874752,1417.5456971590684,24.99371797964779,0.006282020352209372,54.99371797964779,True,0.5,0.0,0.005342978807589383,0.0009390415446191573,3.901481248622712,0.006282020352208541,0.1,0.21340365577272546,2.1340365577272546,-0.03211213519297678,1.0,13,125.0,0.0,2.0,35.24846153846153,0.00159395656729236,0.9984073131067854
37.7749,-122.4194,30.0,wood,37.7849,-122.4094,15.0,white_paint,False,0.2,1.0,40.0,20.0,850.0,25.0,1.4173252285675964,-0.6063566710115278,1417.4046012110264,23.68026159470358,1.3197384052964196,53.68026159470358,True,0.5,1.313958110014808,0.004232050603895477,0.0015482446777159253,6.180472502994156,1.3197384052964194,0.1,0.30743057872076557,3.0743057872076553,-0.2208493544261931,1.0,8,80.0,0.2,1.0,21.32249999999999,0.1372101862086227,0.8717869692759534
37.7749,-122.4194,15.0,black_paint,37.7849,-122.4094,20.0,concrete,False,3.0,0.5,40.0,30.0,1550.0,25.0,1.4173252285675964,0.20212559783278145,1417.3340479697047,13.889624118707927,11.110375881292073,43.88962411870793,True,0.6203771977943138,11.10813596373762,0.002073119178075587,0.0001667983763776553,10.550351184718245,11.110375881292073,0.1,0.5738256748058721,5.7382567480587205,-0.3851877839597671,0.6119225586552753,7,65.0,3.0,0.5,31.062142857142874,0.7626036760264749,0.4664503589561255
37.7749,-122.4194,40.0,wood,37.7849,-122.4094,10.0,white_paint,False,0.1,1.0,40.0,30.0,1550.0,10.0,1.4173252285675964,-1.2125775507233312,1417.642692477265,9.729530273141364,0.2704697268586358,39.729530273141364,True,0.6458192570901317,0.26747632208161987,0.002873147193715707,0.00012025758329947315,5.045306210278925,0.2704697268586351,0.1,0.2575158547196961,2.575158547196961,-0.0787316747173948,0.5484208453394541,9,90.0,0.1,1.0,30.562222222222204,0.035583764095371354,0.9650418949830059
37.7749,-122.4194,100.0,steel,37.7849,-122.4094,15.0,concrete,False,0.0,1.0,0.0,0.0,850.0,25.0,1.4173252285675964,-3.432038736400709,1419.8717560167852,24.996854580933547,0.003145419066452604,54.996854580933544,True,0.5394471707629718,0.0,0.002261022385044044,0.0008843966814103735,3.365768272397397,0.0031454190664544175,0.1,0.19465811706778569,1.9465811706778569,-0.008818981240148658,0.8537496425936227,15,150.0,0.0,1.0,-0.2816666666666947,0.001147189615039742,0.9988534681554135
